WORD,WORDDEF
outdated,"old, no longer valid or fashionable"
outdistance,go far ahead of
outdo,get the better of
outfit,gear consisting of a set of articles or tools for a specified purpose
outgoing,at ease in talking to others
outgrow,grow too large or too mature for
outlandish,conspicuously or grossly unconventional or unusual
outlast,live longer than
outlet,receptacle providing a place in a wiring system where current can be taken to run electrical devices
outlook,the act of looking out
outmaneuver,defeat by more skillful maneuvering
outmoded,out of fashion
output,the quantity of something (as a commodity) that is created (usually within a given period of time)
outrageous,greatly exceeding bounds of reason or moderation
outright,without restrictions or stipulations or further payments
outrun,run faster than
outset,the time at which something is supposed to begin
outskirt,a part of the city far removed from the center
outspoken,"characterized by directness in manner or speech, without subtlety or evasion"
outstanding,of major significance or importance
outward,toward the outside
outweigh,weigh more heavily
outwit,beat through cleverness and wit
overall,(usually plural) work clothing consisting of denim trousers (usually with a bib and shoulder straps)
overbearing,expecting unquestioning obedience
overburden,burden with too much work or responsibility
overcast,make overcast or cloudy
overcharge,a price that is too high
overdue,"past due, not paid at the scheduled time"
overhaul,"make repairs, renovations, revisions or adjustments to"
overreach,beat through cleverness and wit
override,prevail over
overshadow,be greater in significance than
overt,"open and observable, not secret or hidden"
overture,a tentative suggestion designed to elicit the reactions of others
overweening,"unrestrained, especially with regard to feelings"
overwhelm,"overcome, as with emotions or perceptual stimuli"
ovine,of or pertaining to or of the nature of or characteristic of a sheep or sheep
ovoid,an egg-shaped object
oxymoron,conjoining contradictory terms (as in `deafening silence')
pachyderm,"any of various nonruminant hoofed mammals having very thick skin: elephant, rhinoceros, hippopotamus"
pacifist,opposed to war
pacify,fight violence and try to establish peace in (a location)
pact,a written agreement between two states or sovereigns
paddock,pen where racehorses are saddled and paraded before a race
paean,A song of joyful praise or exultation.
painstaking,characterized by extreme care and great effort
palatable,acceptable to the taste or mind
palatial,suitable for or like a palace
palaver,"have a lengthy discussion, usually between people of different backgrounds"
paleontology,the earth science that studies fossil organisms and related remains
palette,board that provides a flat surface on which artists mix paints and the range of colors used
palimpsest,a manuscript (usually written on papyrus or parchment) on which more than one text has been written with the earlier writing incompletely erased and still visible
palindrome,a word or phrase that reads the same backward as forward
pall,cause to lose courage
pallet,the range of colour characteristic of a particular artist or painting or school of art
palliate,lessen or to try to lessen the seriousness or extent of
palliation,easing the severity of a pain or a disease without removing the cause
pallid,abnormally deficient in color as suggesting physical or emotional distress
pallor,unnatural lack of color in the skin (as from bruising or sickness or emotional distress)
palpability,the quality of being perceivable by touch
palpable,can be felt by palpation
palpitate,"shake with fast, tremulous movements"
paltry,not worth considering
panacea,"hypothetical remedy for all ills or diseases, once sought by the alchemists"
panache,distinctive and stylish elegance
pandemic,epidemic over a wide geographical area
pandemonium,a state of extreme confusion and disorder
pander,"yield (to), give satisfaction to"
panegyric,a formal expression of praise
panoply,a complete and impressive array
panorama,the visual percept of a region
pantheism,the doctrine or belief that God is the universe and its phenomena (taken or conceived of as a whole) or the doctrine that regards the universe as a manifestation of God
pantheon,all the gods of a religion
pantomime,act out without words but with gestures and bodily movements only
papyrus,"paper made from the papyrus plant by cutting it in strips and pressing it flat, used by ancient Egyptians and Greeks and Romans"
parable,a short moral story (often with animal characters)
